name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Tata City,2006,492575,57574,LPG,Trustmark Dealer,Automatic,First Owner
Mahindra Fortuner,2019,1659700,131757,CNG,Trustmark Dealer,Automatic,Second Owner
Hyundai Swift,2022,229336,63664,Petrol,Trustmark Dealer,Manual,First Owner
Mahindra X5,2007,3401078,77384,CNG,Dealer,Manual,Fourth & Above Owner
Maruti City,2021,1842425,41027,LPG,Individual,Automatic,Third Owner
Audi X5,2008,2807622,44485,CNG,Trustmark Dealer,Automatic,Fourth & Above Owner
Maruti Fortuner,2008,2086963,45554,LPG,Individual,Manual,Fourth & Above Owner
Jaguar City,2018,2972605,56922,Petrol,Individual,Manual,Fourth & Above Owner
Tata C-Class,2013,1647947,23409,Diesel,Individual,Manual,Second Owner
BMW X5,2013,4376426,46639,Petrol,Trustmark Dealer,Automatic,Second Owner
Mercedes City,2022,4056756,29692,Petrol,Trustmark Dealer,Automatic,Second Owner
Mahindra X5,2014,1698339,99037,Diesel,Individual,Manual,Third Owner
Mercedes City,2008,876296,28074,CNG,Dealer,Automatic,Second Owner
Mahindra Swift,2016,579039,39963,Diesel,Individual,Manual,First Owner
Honda X5,2012,728714,62265,CNG,Dealer,Automatic,Fourth & Above Owner
Hyundai C-Class,2006,3111190,26061,CNG,Individual,Manual,Third Owner
Jaguar C-Class,2017,4835352,123502,LPG,Individual,Manual,Third Owner
Audi Fortuner,2020,752439,32800,LPG,Individual,Automatic,Third Owner
Mahindra City,2006,4342535,126192,Diesel,Trustmark Dealer,Automatic,Third Owner
Mercedes X5,2015,473452,117228,Petrol,Dealer,Automatic,Third Owner
Jaguar Fortuner,2014,978883,38054,Diesel,Dealer,Automatic,First Owner
Toyota X5,2019,4571047,23233,CNG,Individual,Automatic,Fourth & Above Owner
Toyota City,2021,2389921,75727,LPG,Trustmark Dealer,Automatic,Third Owner
Maruti C-Class,2012,3398156,100610,Diesel,Trustmark Dealer,Manual,Fourth & Above Owner
Audi Swift,2022,962371,80453,Diesel,Dealer,Automatic,Second Owner
Honda C-Class,2013,3457945,114135,LPG,Trustmark Dealer,Manual,Third Owner
Mercedes Fortuner,2012,3968950,118464,LPG,Dealer,Manual,Third Owner
Hyundai Swift,2018,342980,23682,LPG,Dealer,Automatic,Fourth & Above Owner
Hyundai Fortuner,2022,4896671,68160,CNG,Dealer,Manual,Third Owner
Mercedes City,2016,2634003,33666,LPG,Trustmark Dealer,Manual,Third Owner
BMW Swift,2023,457354,68817,Petrol,Dealer,Automatic,Third Owner
Honda Fortuner,2018,3406943,101198,Diesel,Dealer,Automatic,First Owner
Jaguar City,2021,2117160,51830,LPG,Individual,Automatic,First Owner
Mahindra C-Class,2007,3515258,20234,LPG,Dealer,Manual,Third Owner
BMW City,2011,4571545,67616,CNG,Dealer,Automatic,First Owner
Mahindra X5,2021,2435883,19221,CNG,Individual,Automatic,Second Owner
Mahindra City,2016,2750982,11051,Diesel,Individual,Automatic,Third Owner
BMW City,2013,964265,120529,Petrol,Trustmark Dealer,Automatic,Second Owner
Maruti X5,2019,508617,86918,Diesel,Dealer,Manual,Fourth & Above Owner
Toyota Fortuner,2022,3180346,88116,LPG,Trustmark Dealer,Automatic,Second Owner
Mahindra Fortuner,2017,944748,132226,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner
BMW City,2012,3836562,54757,Petrol,Individual,Automatic,Third Owner
BMW X5,2018,2254410,131008,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner
Tata X5,2012,2677748,141379,Petrol,Dealer,Manual,Fourth & Above Owner
Ford C-Class,2018,934275,66889,Diesel,Individual,Manual,Second Owner
Maruti Fortuner,2011,1497819,45944,CNG,Dealer,Automatic,Second Owner
Audi Swift,2016,1234186,109555,CNG,Dealer,Manual,Second Owner
Ford Fortuner,2015,798506,48134,LPG,Individual,Automatic,Third Owner
Ford Fortuner,2015,756718,35954,CNG,Dealer,Automatic,Third Owner
Mercedes C-Class,2017,1796853,99959,CNG,Individual,Automatic,Second Owner
Toyota Swift,2022,552414,14992,CNG,Dealer,Automatic,Third Owner
BMW C-Class,2006,3163944,11961,CNG,Individual,Automatic,Third Owner
Toyota Swift,2019,2547693,22497,LPG,Trustmark Dealer,Manual,Fourth & Above Owner
Honda City,2022,2963545,23255,Diesel,Dealer,Automatic,Fourth & Above Owner
Mercedes Swift,2019,3716144,145639,Petrol,Individual,Manual,Second Owner
Audi C-Class,2023,4148401,58847,CNG,Dealer,Manual,Third Owner
Toyota Fortuner,2016,324932,30389,Diesel,Dealer,Manual,Fourth & Above Owner
Hyundai Swift,2017,468083,133802,CNG,Dealer,Manual,First Owner
Mahindra Swift,2015,1951498,71576,CNG,Individual,Manual,Third Owner
Honda X5,2009,4077809,53919,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Fortuner,2005,1758426,13358,Petrol,Trustmark Dealer,Manual,Second Owner
Audi City,2007,3430431,98535,Petrol,Trustmark Dealer,Automatic,Third Owner
Honda C-Class,2023,2792316,115982,CNG,Individual,Manual,Second Owner
Mahindra City,2011,489220,15698,CNG,Trustmark Dealer,Automatic,Second Owner
Mercedes Fortuner,2016,4176765,76809,CNG,Individual,Manual,Second Owner
Mahindra Swift,2019,1595285,103079,Petrol,Dealer,Manual,Second Owner
Ford Swift,2009,4876029,65805,LPG,Dealer,Manual,Second Owner
Mahindra Fortuner,2019,3122705,85033,Diesel,Trustmark Dealer,Manual,Third Owner
Ford Swift,2012,2864749,108239,LPG,Individual,Automatic,First Owner
Mercedes Swift,2014,4199453,140407,CNG,Dealer,Automatic,Third Owner
Jaguar Swift,2020,1606978,54041,CNG,Individual,Automatic,Third Owner
Ford C-Class,2012,3121989,41954,LPG,Individual,Manual,Third Owner
Maruti C-Class,2005,1184156,18002,CNG,Dealer,Manual,Fourth & Above Owner
Mahindra X5,2016,3913543,79783,Diesel,Individual,Manual,Fourth & Above Owner
Mahindra City,2009,1063659,117524,CNG,Dealer,Automatic,Third Owner
Maruti Fortuner,2007,2437035,134857,Diesel,Dealer,Manual,First Owner
Hyundai Fortuner,2005,1403920,29738,LPG,Dealer,Automatic,Third Owner
BMW Fortuner,2008,3308591,20703,LPG,Individual,Automatic,Second Owner
Jaguar X5,2012,3810954,123776,CNG,Dealer,Manual,Fourth & Above Owner
Audi C-Class,2007,947852,54724,Diesel,Individual,Manual,Fourth & Above Owner
Ford X5,2014,1356618,42299,CNG,Dealer,Automatic,Third Owner
Maruti Fortuner,2006,4111147,25641,Petrol,Dealer,Automatic,Third Owner
Mercedes City,2015,1307810,89534,Petrol,Trustmark Dealer,Automatic,First Owner
Ford Swift,2014,1012283,16305,Petrol,Trustmark Dealer,Manual,First Owner
BMW C-Class,2018,3114863,28782,Petrol,Trustmark Dealer,Manual,Second Owner
Mercedes C-Class,2011,2021367,88257,CNG,Individual,Manual,Third Owner
Honda X5,2006,3572863,87963,Petrol,Individual,Manual,Third Owner
Mahindra C-Class,2013,3099033,131987,Diesel,Dealer,Manual,Third Owner
Honda Fortuner,2020,4732669,134591,LPG,Dealer,Manual,Fourth & Above Owner
Ford Fortuner,2017,1778315,77766,LPG,Dealer,Automatic,Second Owner
BMW X5,2013,1549590,16511,Petrol,Dealer,Automatic,First Owner
Jaguar Fortuner,2008,3704438,124816,Petrol,Individual,Automatic,Fourth & Above Owner
Ford City,2014,4780197,14765,Petrol,Dealer,Manual,Fourth & Above Owner
Maruti X5,2016,3245529,33929,CNG,Dealer,Automatic,Fourth & Above Owner
Toyota City,2021,2425541,121576,LPG,Trustmark Dealer,Manual,Fourth & Above Owner
Ford Swift,2018,3011139,81088,Petrol,Dealer,Manual,Second Owner
Mahindra City,2018,1669793,87525,Diesel,Dealer,Automatic,Third Owner
Mahindra Swift,2006,4690512,23780,Petrol,Dealer,Manual,First Owner
Ford Swift,2015,3097706,16589,LPG,Individual,Automatic,First Owner
Mercedes City,2020,3401473,103664,Petrol,Trustmark Dealer,Automatic,Fourth & Above Owner
Toyota X5,2023,1298657,114188,LPG,Dealer,Manual,Fourth & Above Owner
Maruti Fortuner,2010,1126215,103326,Petrol,Dealer,Automatic,Second Owner
Ford Fortuner,2023,3233449,50953,Diesel,Trustmark Dealer,Automatic,Fourth & Above Owner
Mercedes Swift,2009,1649991,75785,Petrol,Dealer,Automatic,First Owner
Mahindra Swift,2008,2711910,29309,Diesel,Individual,Automatic,First Owner
Mahindra X5,2019,624528,64195,Diesel,Dealer,Manual,Third Owner
BMW C-Class,2008,2735610,35901,Petrol,Individual,Automatic,Third Owner
Ford City,2014,2915223,35464,Diesel,Individual,Automatic,First Owner
Toyota Swift,2007,812181,26260,CNG,Dealer,Automatic,First Owner
Hyundai Fortuner,2009,3845525,134997,Petrol,Trustmark Dealer,Manual,Second Owner
Toyota X5,2010,1850824,45440,Petrol,Individual,Automatic,Second Owner
Mahindra City,2012,339227,105082,Diesel,Trustmark Dealer,Manual,First Owner
Mahindra X5,2011,1973055,115583,Diesel,Dealer,Automatic,Fourth & Above Owner
Honda City,2014,892137,66683,Petrol,Individual,Automatic,Third Owner
Mahindra City,2010,481854,134206,CNG,Dealer,Automatic,First Owner
Maruti Swift,2018,860327,143059,Diesel,Trustmark Dealer,Manual,Fourth & Above Owner
Audi X5,2008,1857153,88484,Diesel,Dealer,Manual,First Owner
Ford X5,2017,4545398,78309,LPG,Dealer,Manual,Third Owner
Toyota Fortuner,2021,1685255,55927,CNG,Individual,Manual,Third Owner
Audi Fortuner,2011,4356004,52946,CNG,Dealer,Manual,Second Owner
Mercedes Swift,2008,2006684,136503,Petrol,Dealer,Manual,Second Owner
Hyundai Swift,2018,2009858,63592,CNG,Dealer,Automatic,Second Owner
Maruti C-Class,2007,679083,148419,Petrol,Individual,Manual,Second Owner
Tata Fortuner,2009,1594316,43776,LPG,Trustmark Dealer,Automatic,Third Owner
Toyota City,2020,2101740,144855,CNG,Trustmark Dealer,Manual,Fourth & Above Owner
Audi X5,2008,4462627,65798,Diesel,Dealer,Manual,Fourth & Above Owner
Hyundai Swift,2006,4784946,145370,LPG,Individual,Manual,Fourth & Above Owner
Honda X5,2022,2495936,80204,Petrol,Dealer,Automatic,First Owner
Maruti X5,2023,4501400,96207,LPG,Trustmark Dealer,Manual,Second Owner
Maruti C-Class,2023,4841094,110356,Petrol,Individual,Manual,Second Owner
Honda Fortuner,2021,2907184,70652,LPG,Trustmark Dealer,Automatic,Third Owner
Tata Swift,2018,3112066,139572,Petrol,Trustmark Dealer,Automatic,Third Owner
Ford X5,2023,3970771,30922,CNG,Individual,Automatic,First Owner
Honda Swift,2017,1740724,86996,Diesel,Individual,Automatic,First Owner
Maruti City,2016,2165730,40266,Petrol,Dealer,Manual,Fourth & Above Owner
Maruti C-Class,2010,4762530,12866,LPG,Dealer,Automatic,Third Owner
Audi City,2008,4520614,122669,Petrol,Trustmark Dealer,Manual,Second Owner
Mahindra Swift,2023,4283290,15898,Petrol,Individual,Manual,Fourth & Above Owner
Tata Swift,2020,875673,28395,Petrol,Individual,Automatic,Second Owner
Hyundai Fortuner,2017,4262224,14006,LPG,Dealer,Manual,Fourth & Above Owner
Honda X5,2008,2088529,20956,Diesel,Trustmark Dealer,Automatic,Second Owner
Hyundai X5,2021,1294316,147150,CNG,Trustmark Dealer,Manual,First Owner
Honda City,2005,4500915,105676,Diesel,Dealer,Automatic,Fourth & Above Owner
Mercedes C-Class,2022,1836675,131724,Petrol,Individual,Automatic,Second Owner
Maruti X5,2021,906673,72901,LPG,Dealer,Automatic,Second Owner
Mahindra Fortuner,2019,1001849,117227,Diesel,Dealer,Automatic,Third Owner
Audi City,2015,1928665,127192,Petrol,Dealer,Automatic,Fourth & Above Owner
Mahindra City,2017,1361068,41417,CNG,Dealer,Automatic,Second Owner
Mahindra Fortuner,2005,1235891,98020,CNG,Individual,Manual,Third Owner
Mahindra C-Class,2021,953494,93639,CNG,Dealer,Manual,Second Owner
Hyundai Fortuner,2010,623177,104881,Petrol,Individual,Manual,Fourth & Above Owner
Honda C-Class,2008,842762,142659,LPG,Dealer,Automatic,First Owner
Jaguar Fortuner,2020,967876,131688,Diesel,Trustmark Dealer,Manual,Fourth & Above Owner
Mercedes Fortuner,2019,3904697,125584,CNG,Individual,Automatic,Fourth & Above Owner
Toyota Swift,2019,1406184,96567,Petrol,Trustmark Dealer,Manual,Second Owner
Mahindra City,2010,1960511,85886,Petrol,Dealer,Manual,Second Owner
Ford Fortuner,2019,4784074,39432,Diesel,Dealer,Automatic,Fourth & Above Owner
Hyundai Fortuner,2018,3741815,82373,CNG,Dealer,Manual,Third Owner
Tata X5,2015,246002,30884,Petrol,Individual,Manual,Third Owner
Audi City,2011,4810146,15454,Diesel,Trustmark Dealer,Manual,Third Owner
Toyota X5,2013,915339,84960,LPG,Individual,Automatic,Second Owner
Jaguar City,2020,4339289,112421,LPG,Individual,Manual,Second Owner
Ford X5,2009,1984006,53618,LPG,Dealer,Automatic,Fourth & Above Owner
Jaguar Fortuner,2014,828889,57111,CNG,Trustmark Dealer,Manual,First Owner
Toyota Fortuner,2022,2567108,130592,Diesel,Dealer,Manual,Second Owner
Mahindra Swift,2007,4789699,69993,Diesel,Individual,Manual,Fourth & Above Owner
Ford X5,2017,4044886,138652,Petrol,Dealer,Manual,Fourth & Above Owner
Jaguar C-Class,2015,1125779,149920,Petrol,Trustmark Dealer,Automatic,First Owner
Audi Swift,2021,2729832,88672,Petrol,Dealer,Manual,Third Owner
Honda X5,2017,3519151,76125,Diesel,Trustmark Dealer,Automatic,Fourth & Above Owner
Maruti X5,2010,425391,127509,Petrol,Trustmark Dealer,Automatic,Fourth & Above Owner
Honda Swift,2021,391387,71602,Diesel,Dealer,Manual,Fourth & Above Owner
Toyota Fortuner,2017,3832632,52222,Diesel,Individual,Manual,Third Owner
Hyundai X5,2023,4808474,59223,LPG,Dealer,Automatic,Third Owner
Maruti Fortuner,2023,2984067,75333,Petrol,Individual,Automatic,First Owner
Mercedes Swift,2014,1574073,132650,LPG,Individual,Manual,Second Owner
Audi Fortuner,2007,2735394,59420,CNG,Dealer,Manual,Third Owner
Mercedes City,2018,4757220,85504,CNG,Individual,Manual,Second Owner
Ford C-Class,2023,4572352,12462,CNG,Individual,Manual,Second Owner
Maruti X5,2009,1624663,19460,Diesel,Dealer,Manual,Third Owner
Mercedes C-Class,2009,2669146,109319,Diesel,Dealer,Automatic,Fourth & Above Owner
Mercedes Fortuner,2021,3491070,139593,Diesel,Dealer,Manual,First Owner
Jaguar X5,2014,886268,132672,Petrol,Individual,Manual,Second Owner
Honda Fortuner,2009,1001955,82920,LPG,Trustmark Dealer,Automatic,Fourth & Above Owner
Jaguar City,2008,1311009,32553,Diesel,Individual,Manual,Third Owner
Maruti Swift,2010,2213148,54036,LPG,Trustmark Dealer,Manual,Second Owner
Maruti X5,2008,4667223,80021,LPG,Dealer,Automatic,Second Owner
Toyota City,2011,1719593,117205,LPG,Trustmark Dealer,Manual,Second Owner
Jaguar City,2011,2644291,98209,Petrol,Dealer,Automatic,Fourth & Above Owner
BMW X5,2022,347745,85139,Petrol,Dealer,Manual,Fourth & Above Owner
Tata Fortuner,2007,3992824,15368,CNG,Trustmark Dealer,Manual,Fourth & Above Owner
Honda City,2005,1930992,145693,CNG,Dealer,Manual,Second Owner
Maruti C-Class,2008,337686,68829,LPG,Trustmark Dealer,Automatic,Second Owner
Toyota City,2010,2267636,139036,CNG,Dealer,Automatic,First Owner
Jaguar Fortuner,2013,4351923,24719,LPG,Individual,Automatic,First Owner
Honda Fortuner,2018,2183044,39227,Petrol,Individual,Automatic,Fourth & Above Owner
Jaguar C-Class,2016,4124221,119430,Petrol,Dealer,Manual,Fourth & Above Owner
Mercedes City,2008,3514344,148638,Petrol,Dealer,Automatic,Third Owner
Toyota Fortuner,2016,249976,22306,Diesel,Trustmark Dealer,Automatic,Fourth & Above Owner
Honda X5,2014,2722620,63822,LPG,Individual,Automatic,First Owner
Mahindra Swift,2011,2563128,34042,Petrol,Trustmark Dealer,Manual,First Owner
Ford Swift,2007,3567611,99424,LPG,Dealer,Manual,First Owner
Ford Swift,2018,4605813,28019,CNG,Dealer,Automatic,Second Owner
Honda City,2014,3842693,85426,CNG,Trustmark Dealer,Automatic,Second Owner
Jaguar C-Class,2020,2227320,50863,Petrol,Dealer,Manual,Fourth & Above Owner
Toyota Fortuner,2020,2012105,121023,LPG,Individual,Automatic,Third Owner
Tata X5,2014,2147238,56999,Petrol,Trustmark Dealer,Automatic,Third Owner
Ford X5,2017,1595796,72780,CNG,Individual,Automatic,Third Owner
Toyota City,2010,3761262,32908,Petrol,Individual,Automatic,Second Owner
Ford Swift,2016,408859,136278,LPG,Individual,Manual,First Owner
Mercedes City,2013,4227902,123002,CNG,Trustmark Dealer,Manual,First Owner
Jaguar C-Class,2017,245475,110706,Diesel,Dealer,Manual,Second Owner
Mercedes C-Class,2008,3503364,132019,CNG,Individual,Automatic,Third Owner
Ford Fortuner,2015,3439254,119708,Diesel,Individual,Automatic,Third Owner
Mahindra Fortuner,2022,1299577,19343,Petrol,Individual,Manual,Fourth & Above Owner
Mahindra C-Class,2015,1044081,86173,Petrol,Dealer,Manual,Fourth & Above Owner
Mercedes C-Class,2008,4823037,110260,LPG,Dealer,Manual,Third Owner
Mahindra C-Class,2022,3895727,79443,Diesel,Trustmark Dealer,Automatic,Second Owner
Ford City,2005,1802970,67530,Petrol,Dealer,Manual,Third Owner
Honda C-Class,2011,1731064,145899,Diesel,Trustmark Dealer,Automatic,Fourth & Above Owner
Mercedes X5,2010,4611887,106143,Petrol,Trustmark Dealer,Automatic,Third Owner
Tata Swift,2019,427189,124527,CNG,Trustmark Dealer,Manual,Second Owner
Tata C-Class,2022,2276198,146385,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai Swift,2015,1668919,121362,LPG,Trustmark Dealer,Automatic,Second Owner
Jaguar City,2019,3481941,38807,CNG,Individual,Manual,Second Owner
Mahindra Swift,2020,2850324,69550,LPG,Dealer,Manual,Fourth & Above Owner
Mahindra City,2011,3610580,13558,CNG,Individual,Automatic,Second Owner
Maruti X5,2014,3885104,60113,Diesel,Trustmark Dealer,Automatic,Second Owner
BMW City,2016,1620858,62999,LPG,Dealer,Automatic,Fourth & Above Owner
Mercedes City,2018,1948982,68219,Petrol,Individual,Automatic,Fourth & Above Owner
Audi Fortuner,2009,1645065,63218,Diesel,Individual,Automatic,First Owner
Mahindra C-Class,2022,278077,29229,Petrol,Trustmark Dealer,Manual,Third Owner
Jaguar C-Class,2009,4709322,85209,CNG,Individual,Automatic,Second Owner
Hyundai X5,2007,1841232,37877,CNG,Individual,Automatic,Fourth & Above Owner
Tata X5,2009,4645818,107137,Petrol,Individual,Automatic,First Owner
Mahindra C-Class,2021,4295077,48084,Petrol,Individual,Manual,Third Owner
Hyundai Fortuner,2023,984192,91780,Diesel,Individual,Automatic,Fourth & Above Owner
Ford C-Class,2023,4830232,47034,Petrol,Trustmark Dealer,Automatic,Third Owner
Ford Fortuner,2016,1120114,65468,LPG,Trustmark Dealer,Automatic,Third Owner
BMW X5,2013,801891,20589,LPG,Individual,Manual,Second Owner
Honda Swift,2005,3729921,67221,Petrol,Trustmark Dealer,Automatic,Second Owner
Audi X5,2022,2382926,11657,LPG,Trustmark Dealer,Automatic,Fourth & Above Owner
Maruti X5,2008,2685670,108300,Petrol,Dealer,Automatic,Third Owner
BMW City,2014,3544250,127229,Diesel,Individual,Manual,Fourth & Above Owner
Toyota City,2011,3566085,49531,LPG,Trustmark Dealer,Manual,Fourth & Above Owner
Maruti City,2005,4806976,62227,LPG,Trustmark Dealer,Manual,Third Owner
Mercedes City,2021,4223278,13164,Petrol,Individual,Manual,Fourth & Above Owner
Jaguar Fortuner,2006,737977,103078,LPG,Dealer,Automatic,Third Owner
Toyota C-Class,2015,2199014,51247,CNG,Individual,Automatic,Third Owner
Toyota Swift,2013,3903292,60599,Diesel,Dealer,Manual,Third Owner
BMW X5,2011,1758141,145624,Diesel,Individual,Manual,Third Owner
Honda Fortuner,2021,3868280,78207,LPG,Individual,Automatic,First Owner
BMW Swift,2021,2923408,82055,LPG,Individual,Automatic,Third Owner
Mercedes Fortuner,2006,2048058,112266,CNG,Individual,Manual,Second Owner
Tata Fortuner,2010,4984808,88270,CNG,Dealer,Manual,Second Owner
Mahindra X5,2018,2359173,121426,LPG,Dealer,Manual,Second Owner
Mahindra C-Class,2010,4854419,144794,LPG,Trustmark Dealer,Manual,Third Owner
Honda City,2006,242291,80442,CNG,Individual,Automatic,Second Owner
Mercedes C-Class,2005,4822580,105632,Petrol,Dealer,Manual,First Owner
Honda X5,2014,4789058,31438,CNG,Dealer,Manual,Fourth & Above Owner
Hyundai X5,2009,4697968,68819,Petrol,Dealer,Automatic,Third Owner
Mahindra X5,2006,2322827,53856,Diesel,Individual,Automatic,Second Owner
Toyota Swift,2020,2268671,51938,Diesel,Trustmark Dealer,Automatic,First Owner
Audi C-Class,2006,908672,69807,CNG,Dealer,Automatic,Fourth & Above Owner
Jaguar C-Class,2014,537369,59877,Petrol,Individual,Automatic,First Owner
Mercedes Fortuner,2006,4176974,53461,CNG,Dealer,Manual,Second Owner
Maruti Fortuner,2020,3692963,103474,CNG,Dealer,Manual,First Owner
Honda Fortuner,2020,4707167,93136,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner
Jaguar X5,2023,2427039,30435,CNG,Dealer,Automatic,Second Owner
Maruti C-Class,2011,496063,94726,Diesel,Dealer,Manual,Fourth & Above Owner
Jaguar X5,2016,1583875,64786,LPG,Individual,Automatic,First Owner
Audi Swift,2019,2076336,23704,LPG,Individual,Manual,Third Owner
Maruti Fortuner,2012,4156778,66635,CNG,Trustmark Dealer,Manual,Third Owner
BMW X5,2010,4953267,143195,Petrol,Individual,Automatic,Third Owner
Ford X5,2014,3087757,100710,Petrol,Individual,Automatic,Third Owner
BMW Swift,2007,2668665,72993,Diesel,Trustmark Dealer,Manual,Fourth & Above Owner
Mahindra City,2023,3109984,122752,Petrol,Dealer,Manual,Third Owner
Ford C-Class,2021,892924,142886,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner
BMW City,2011,2770115,88537,Diesel,Individual,Manual,Second Owner
Ford Fortuner,2008,1861655,60258,CNG,Trustmark Dealer,Manual,Third Owner
Tata X5,2018,4872412,95166,LPG,Dealer,Automatic,Fourth & Above Owner
Ford Swift,2019,3300498,123710,Diesel,Trustmark Dealer,Automatic,Third Owner
Toyota Swift,2012,4989125,45699,CNG,Individual,Automatic,Third Owner
Honda C-Class,2019,4870432,56335,Diesel,Individual,Automatic,Third Owner
Honda City,2018,1223920,56806,CNG,Trustmark Dealer,Manual,Fourth & Above Owner
Toyota C-Class,2013,4011666,87853,Diesel,Dealer,Manual,First Owner
Jaguar X5,2012,4019712,45739,CNG,Trustmark Dealer,Automatic,Third Owner
Hyundai C-Class,2021,1233668,44785,Diesel,Dealer,Manual,Third Owner
Jaguar Swift,2006,2673199,95016,CNG,Dealer,Automatic,Second Owner
Maruti Swift,2007,497675,142681,Diesel,Trustmark Dealer,Manual,First Owner
Maruti Fortuner,2012,908175,76253,LPG,Dealer,Manual,Fourth & Above Owner
Ford Fortuner,2016,3875002,101128,LPG,Individual,Manual,Second Owner
BMW X5,2005,2067306,137581,Petrol,Trustmark Dealer,Automatic,Third Owner
BMW City,2014,463625,120966,CNG,Dealer,Automatic,Second Owner
Honda C-Class,2007,1042840,147854,Diesel,Individual,Automatic,Second Owner
Mercedes X5,2010,4594643,109352,CNG,Trustmark Dealer,Automatic,Third Owner
Jaguar Fortuner,2011,325355,87154,LPG,Individual,Manual,First Owner
Tata C-Class,2022,4422102,149379,CNG,Individual,Manual,First Owner
Mahindra Fortuner,2015,815937,118297,Diesel,Individual,Manual,Second Owner
Audi C-Class,2023,1575607,48346,CNG,Dealer,Manual,Third Owner
BMW City,2009,219477,122138,Diesel,Trustmark Dealer,Automatic,Fourth & Above Owner
Audi X5,2023,3756210,60772,LPG,Trustmark Dealer,Manual,Second Owner
Ford C-Class,2015,2687111,50149,LPG,Dealer,Manual,Fourth & Above Owner
Audi Swift,2016,2209606,96700,LPG,Trustmark Dealer,Manual,Second Owner
Mahindra Swift,2014,1759757,106758,Petrol,Individual,Automatic,Second Owner
Toyota C-Class,2012,4799409,138447,LPG,Trustmark Dealer,Automatic,Third Owner
Mahindra C-Class,2013,3632207,15695,CNG,Dealer,Automatic,Third Owner
Audi C-Class,2008,4667890,49169,Petrol,Individual,Manual,Fourth & Above Owner
Mahindra Swift,2009,2081297,57947,LPG,Dealer,Automatic,Fourth & Above Owner
Hyundai Swift,2012,1023759,55865,CNG,Individual,Manual,First Owner
Ford C-Class,2013,3230855,114501,CNG,Individual,Manual,Third Owner
Jaguar Fortuner,2019,4729275,70410,CNG,Trustmark Dealer,Manual,Second Owner
Toyota Fortuner,2019,331184,113754,Diesel,Individual,Automatic,Second Owner
Tata City,2020,1335627,100895,Petrol,Dealer,Automatic,First Owner
BMW X5,2018,2447805,60705,CNG,Trustmark Dealer,Manual,Third Owner
Maruti Fortuner,2012,445300,125700,Diesel,Dealer,Manual,Second Owner
Jaguar Swift,2022,784010,83914,LPG,Individual,Automatic,First Owner
Maruti Fortuner,2014,292036,11881,CNG,Dealer,Automatic,First Owner
Ford City,2010,1053392,57365,Diesel,Dealer,Automatic,Second Owner
Toyota City,2016,481696,89211,CNG,Individual,Manual,Second Owner
Honda X5,2006,3862340,51198,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner
BMW Fortuner,2011,1390456,110649,Petrol,Dealer,Manual,Third Owner
Hyundai Swift,2020,4629723,146949,LPG,Individual,Automatic,Fourth & Above Owner
Honda Swift,2007,1190029,49553,CNG,Trustmark Dealer,Automatic,First Owner
Ford C-Class,2017,354692,145994,Diesel,Trustmark Dealer,Automatic,Second Owner
Jaguar Swift,2007,4657335,132778,LPG,Trustmark Dealer,Manual,Fourth & Above Owner
Hyundai X5,2022,2591098,127018,CNG,Dealer,Manual,First Owner
Mahindra X5,2015,1857888,145758,LPG,Dealer,Automatic,Third Owner
Audi Swift,2012,2785917,42766,Diesel,Dealer,Manual,Second Owner
Hyundai Swift,2010,2024964,42006,LPG,Trustmark Dealer,Automatic,Fourth & Above Owner
Tata C-Class,2005,1588509,41422,LPG,Dealer,Manual,Third Owner
Ford Swift,2005,3954542,126590,LPG,Individual,Automatic,Fourth & Above Owner
Mercedes C-Class,2012,2698214,22205,CNG,Dealer,Manual,First Owner
Audi C-Class,2009,4878083,126477,Diesel,Dealer,Manual,Third Owner
Maruti Swift,2020,4964812,38202,Petrol,Trustmark Dealer,Automatic,Fourth & Above Owner
BMW City,2015,4773574,71692,CNG,Dealer,Automatic,Third Owner
Maruti City,2009,4308502,30855,Petrol,Individual,Automatic,First Owner
Hyundai C-Class,2008,1768146,35095,Petrol,Trustmark Dealer,Automatic,Third Owner
Maruti Swift,2010,683455,59241,CNG,Individual,Automatic,Fourth & Above Owner
Tata City,2018,4236405,113119,CNG,Trustmark Dealer,Manual,First Owner
Ford Swift,2023,747219,62003,Diesel,Trustmark Dealer,Automatic,Second Owner
Mahindra Swift,2013,2386268,104837,Diesel,Dealer,Automatic,Fourth & Above Owner
Jaguar Swift,2016,4645975,104283,LPG,Individual,Automatic,Fourth & Above Owner
BMW Fortuner,2015,4187793,133805,Petrol,Trustmark Dealer,Manual,First Owner
Tata Swift,2018,1824777,103846,Diesel,Dealer,Automatic,First Owner
Tata Fortuner,2020,3071656,32927,LPG,Trustmark Dealer,Automatic,Second Owner
Maruti C-Class,2005,4908569,130589,Diesel,Trustmark Dealer,Automatic,Fourth & Above Owner
Maruti City,2017,4055933,125657,CNG,Trustmark Dealer,Manual,First Owner
