car_brand,car_age,kilometers_driven,engine_capacity,mileage,owners,fuel_type,transmission,selling_price
Land Rover,14,46800,2224,10.05,3,Petrol,Manual,2803804.35
BMW,11,101044,3749,23.96,4,Diesel,Automatic,3210861.05
Jaguar,1,10347,3968,11.08,1,Diesel,Automatic,4522942.44
Land Rover,9,138715,1316,18.59,1,Diesel,Automatic,3150105.41
Ford,1,45785,3416,11.79,3,Petrol,Automatic,1676006.88
Ford,8,23681,2747,13.22,3,CNG,Manual,840133.72
Land Rover,2,108864,3693,17.29,3,Diesel,Manual,4254793.44
Hyundai,12,52299,3940,15.09,4,Diesel,Automatic,979512.13
Jaguar,8,22073,2965,10.72,1,Diesel,Automatic,3644357.74
BMW,13,107304,1687,10.91,3,Petrol,Automatic,2265769.53
Land Rover,3,35682,3930,15.11,3,Petrol,Automatic,4483108.31
Hyundai,6,129302,3904,20.87,2,CNG,Manual,1002357.57
Ford,3,120359,2141,23.27,4,Diesel,Automatic,1071506.65
Ford,14,143999,849,9.43,2,Petrol,Manual,-544802.36
Maruti,7,71707,818,14.68,1,CNG,Manual,96251.57
Land Rover,10,70428,1525,9.7,2,Diesel,Manual,3037802.67
Jaguar,9,55601,3044,8.28,2,Petrol,Manual,3065126.76
Mercedes,2,138611,2273,19.25,2,Diesel,Automatic,3655190.61
Jaguar,12,116487,3406,18.24,4,Diesel,Automatic,3060774.24
Ford,12,33228,1251,10.77,1,Petrol,Automatic,325862.19
Ford,14,127788,3136,11.97,2,Petrol,Automatic,392932.29
Audi,5,102239,1964,8.4,4,Petrol,Manual,2632168.58
Ford,13,31928,1907,22.19,1,Diesel,Manual,441565.38
BMW,6,23322,3238,24.57,3,Diesel,Manual,3557124.51
Honda,4,92896,1014,10.3,2,CNG,Automatic,694463.14
Land Rover,4,67292,2349,11.94,1,Diesel,Manual,3843985.16
Jaguar,4,34055,3062,22.76,2,Petrol,Manual,3577760.23
Honda,2,47891,927,23.75,3,Diesel,Manual,935778.79
Hyundai,4,86912,2645,15.13,1,CNG,Manual,949763.77
Mercedes,11,142660,1559,8.86,4,CNG,Automatic,2383345.3
BMW,1,95536,3251,8.67,1,Petrol,Manual,3595639.99
Jaguar,12,11304,3900,17.76,4,Petrol,Manual,3116786.61
Honda,6,12345,2615,14.68,1,CNG,Automatic,1313503.52
Mercedes,1,96006,3185,8.49,4,CNG,Automatic,3807802.51
Audi,10,134350,3678,17.92,3,CNG,Automatic,2941985.02
BMW,6,24446,3561,8.19,3,Petrol,Manual,3412580.18
BMW,1,7336,1160,21.39,3,CNG,Manual,3201820.89
Audi,6,67032,1368,13.21,1,CNG,Manual,2637702.13
Land Rover,10,102852,2215,8.68,3,Petrol,Manual,2941761.97
Audi,8,143593,3065,18.0,2,Diesel,Automatic,3103041.91
BMW,11,23474,2397,14.76,3,Diesel,Manual,2846734.4
BMW,2,60718,2492,24.55,4,CNG,Manual,3321517.09
Honda,2,49629,1001,17.25,4,Diesel,Automatic,1103528.99
Ford,14,50232,2864,12.68,4,Diesel,Automatic,640903.5
Mercedes,13,91544,3169,20.06,1,Diesel,Automatic,3211453.15
Audi,12,55669,1317,12.62,2,Diesel,Manual,2291643.2
Mercedes,4,74184,2148,23.37,3,CNG,Manual,3330495.79
Audi,11,18140,2235,14.37,2,Diesel,Manual,2763534.11
Hyundai,3,131468,2141,17.35,2,Diesel,Manual,846954.85
BMW,4,88457,1480,8.86,4,Petrol,Manual,2701814.32
Ford,13,19357,2788,15.24,4,CNG,Automatic,624332.63
Honda,12,116672,3953,22.15,4,Petrol,Automatic,851731.98
Ford,7,73673,2291,21.7,1,Petrol,Manual,739885.66
Ford,13,126673,1224,11.81,2,CNG,Manual,-294298.67
Ford,11,70633,2768,11.84,2,Diesel,Manual,602311.04
Mercedes,1,101111,2512,21.89,1,Petrol,Manual,3625530.67
Audi,6,83258,3866,23.82,1,CNG,Manual,3381072.23
Toyota,3,148996,3234,9.62,1,Diesel,Automatic,1638095.55
Hyundai,11,74286,1577,15.65,2,CNG,Automatic,215364.39
Jaguar,10,98269,2945,13.74,2,Petrol,Automatic,3047146.65
Ford,7,79071,2626,22.8,4,Diesel,Manual,873917.89
Land Rover,10,35651,1007,9.42,4,Diesel,Manual,2878720.34
Mercedes,2,75202,2337,11.59,2,CNG,Automatic,3635345.28
Honda,14,53777,2459,20.79,4,Diesel,Automatic,565469.66
Jaguar,2,72263,3433,8.87,1,Petrol,Manual,3735730.42
Toyota,13,105158,3013,16.37,3,Petrol,Automatic,676558.29
Land Rover,4,15800,821,15.52,4,Petrol,Automatic,3441902.61
Toyota,1,42823,953,13.68,2,CNG,Manual,1085318.93
Jaguar,3,68878,2762,14.71,4,Diesel,Automatic,3674354.55
Ford,13,23708,1018,17.01,4,Diesel,Automatic,285995.91
Land Rover,9,148891,1468,10.74,4,Diesel,Automatic,2969614.27
Toyota,7,68870,2318,17.72,3,Petrol,Manual,871058.93
Honda,7,14283,3077,21.69,1,Diesel,Automatic,1567205.07
Audi,13,83707,2867,20.92,2,Petrol,Automatic,2661246.33
BMW,13,10774,3400,10.62,3,Diesel,Automatic,3185081.4
Audi,11,147055,1749,10.54,2,Petrol,Manual,2068260.16
Jaguar,4,101468,2995,12.56,2,Diesel,Manual,3458680.01
Mercedes,2,101334,3979,14.14,2,CNG,Automatic,4107680.17
BMW,14,23133,1202,14.94,3,CNG,Manual,2052211.15
Hyundai,4,5781,1395,19.55,1,Petrol,Automatic,1034377.58
Honda,6,119586,3214,8.96,2,Petrol,Manual,937224.85
Hyundai,11,32624,2237,8.59,1,Diesel,Manual,510687.62
Land Rover,11,11823,3649,14.66,1,Diesel,Automatic,4066105.85
BMW,3,23489,3765,19.85,4,CNG,Automatic,3919310.71
Hyundai,1,34118,1957,11.29,3,Diesel,Automatic,1393164.53
Hyundai,14,105417,2542,18.91,3,Petrol,Manual,-46205.13
Toyota,12,86816,2106,12.42,4,Petrol,Automatic,529771.72
Audi,8,18565,872,23.06,4,Petrol,Manual,2333389.36
Toyota,12,96179,1280,23.23,1,Petrol,Manual,195022.92
BMW,13,28648,1359,13.05,2,Petrol,Automatic,2413034.61
BMW,5,46971,1544,11.91,3,CNG,Manual,2868858.08
Jaguar,5,23658,2266,14.99,2,CNG,Automatic,3478541.98
Toyota,11,26253,899,12.09,2,Petrol,Manual,267957.3
Maruti,4,93664,1882,19.43,4,Diesel,Automatic,819622.76
Audi,6,108850,3355,22.04,2,Petrol,Manual,3110053.9
BMW,3,142924,3105,19.44,1,CNG,Manual,3298052.77
Jaguar,9,138623,1212,22.01,4,Petrol,Automatic,2412648.05
Toyota,5,76947,1888,14.75,2,CNG,Manual,912679.27
Audi,3,66001,3442,10.66,4,CNG,Automatic,3555473.67
Toyota,11,127775,1977,20.55,1,Petrol,Manual,396432.54
Hyundai,1,38243,2808,14.13,1,Petrol,Manual,1406575.54
Jaguar,10,80939,3113,19.41,2,Diesel,Manual,3094657.62
Audi,12,62828,1620,12.6,4,CNG,Automatic,2299161.66
Ford,6,143311,3950,9.38,2,Diesel,Automatic,1395801.76
Land Rover,2,11710,1461,24.87,2,Petrol,Automatic,3965029.55
Land Rover,13,42991,3794,10.66,4,CNG,Automatic,3475763.55
Audi,3,143043,1359,24.8,2,Diesel,Automatic,2986750.21
Toyota,1,90445,3764,24.61,1,Diesel,Manual,2007486.4
Jaguar,9,85257,3738,21.49,4,Diesel,Manual,3308922.95
Land Rover,8,42711,2071,19.21,4,Petrol,Automatic,3462667.39
Jaguar,12,11530,2613,17.82,4,Petrol,Manual,2762789.82
Land Rover,2,16116,3715,22.72,4,Petrol,Manual,4324949.66
Hyundai,12,70794,1409,12.92,2,CNG,Manual,-103999.27
Toyota,11,136354,3261,15.95,2,Petrol,Manual,674187.16
Hyundai,8,137970,824,18.53,1,CNG,Automatic,137004.24
Land Rover,12,9135,2828,14.99,3,Diesel,Manual,3419527.8
Ford,14,142701,1083,15.27,3,Diesel,Automatic,-115689.33
Ford,9,114472,2272,13.61,1,Petrol,Automatic,602121.28
Hyundai,1,130147,3728,17.59,3,Diesel,Manual,1433076.58
Ford,13,94087,1100,22.46,1,Petrol,Automatic,53180.89
Land Rover,5,38380,1891,11.43,2,CNG,Manual,3545994.04
Audi,8,134951,1830,23.89,4,Diesel,Manual,2485564.96
Hyundai,11,22071,1616,19.71,4,Petrol,Manual,124150.79
Mercedes,14,25074,882,22.0,2,Diesel,Automatic,2623783.69
Toyota,2,72843,2720,17.46,4,Diesel,Automatic,1711996.15
Ford,4,44901,3944,21.25,4,Petrol,Automatic,1615821.49
Ford,7,16205,2893,8.28,3,Diesel,Manual,1065396.04
BMW,3,129661,1417,21.91,2,Diesel,Manual,2961487.14
Maruti,13,10906,3775,8.68,3,Diesel,Manual,709454.81
Hyundai,12,138663,3109,23.13,3,Diesel,Automatic,585681.69
Honda,5,130576,975,24.86,4,CNG,Manual,288524.52
Ford,8,67987,1989,13.0,4,Diesel,Manual,603153.11
Toyota,12,85685,3504,11.58,2,Diesel,Automatic,1107682.25
Mercedes,10,115454,1641,21.01,4,Petrol,Automatic,2626931.94
Ford,3,110487,1169,12.3,4,CNG,Automatic,653983.07
Mercedes,4,59400,2618,22.71,2,Petrol,Manual,3478637.49
Land Rover,14,36852,2901,9.75,4,Petrol,Manual,2959362.24
Land Rover,9,57756,1489,10.14,3,Petrol,Manual,2991448.89
Maruti,14,120357,2579,24.65,2,CNG,Automatic,83480.16
Audi,14,124052,2164,19.46,4,Petrol,Automatic,2147318.56
Honda,7,61481,3998,22.4,1,Petrol,Automatic,1565769.65
BMW,1,6283,2232,13.51,2,Petrol,Automatic,3764483.73
Maruti,14,38691,1166,19.5,2,Diesel,Manual,-176149.06
Jaguar,12,137197,1443,18.1,1,Petrol,Manual,2210118.5
BMW,4,31170,3226,18.25,4,CNG,Manual,3427732.46
Hyundai,4,13438,872,19.6,4,CNG,Manual,511838.22
Toyota,9,25095,3762,17.78,2,Diesel,Manual,1454078.85
Jaguar,6,144076,2071,15.29,2,CNG,Manual,2816968.13
Jaguar,9,14752,1659,12.69,4,CNG,Manual,2678874.6
Maruti,12,60426,842,21.07,4,Diesel,Manual,-282567.59
Audi,6,31819,3224,11.85,3,Petrol,Automatic,3385216.02
Maruti,6,97051,1864,19.77,2,Diesel,Automatic,731671.0
Hyundai,5,37994,3017,11.97,2,Petrol,Manual,1072615.08
Ford,5,102756,3059,18.63,1,Petrol,Automatic,1227413.7
Ford,2,145659,2316,20.7,3,CNG,Manual,826550.08
Audi,8,100665,2886,11.72,4,Diesel,Manual,2851616.56
Hyundai,8,136717,1168,9.02,3,CNG,Automatic,67844.5
Audi,11,86835,3604,10.23,4,CNG,Manual,2688265.33
Mercedes,13,127232,950,18.3,4,Petrol,Manual,1951630.98
Ford,1,48732,1934,22.44,3,CNG,Manual,1120555.59
Jaguar,8,51305,2303,8.76,2,Diesel,Manual,3075788.04
Honda,5,14346,2259,20.48,4,CNG,Manual,968522.11
Toyota,2,5587,1870,13.8,3,CNG,Manual,1309936.89
Hyundai,14,17763,1823,16.13,1,Petrol,Manual,86341.08
BMW,2,74615,2398,23.79,3,Diesel,Automatic,3627305.62
Audi,14,125987,3584,13.64,1,CNG,Automatic,2719995.0
Toyota,6,96353,2840,15.91,4,Petrol,Manual,972252.91
BMW,11,100648,2189,8.23,3,CNG,Automatic,2601256.05
Toyota,13,30556,868,9.39,3,Diesel,Manual,191361.35
Honda,9,64042,3146,12.4,1,CNG,Manual,868311.13
BMW,1,23099,1743,8.47,3,CNG,Manual,3267880.38
Maruti,12,114089,1601,18.73,3,Petrol,Manual,-298629.57
Land Rover,6,149302,3143,15.25,4,CNG,Automatic,3558211.81
Maruti,9,38866,3050,17.32,3,Petrol,Automatic,806058.01
Ford,8,110400,860,10.97,2,Diesel,Automatic,411280.66
Land Rover,11,89246,1745,13.03,1,CNG,Automatic,3096410.25
Maruti,6,81975,3810,19.29,3,Diesel,Manual,1085707.12
Land Rover,3,86557,2137,24.41,1,Diesel,Automatic,4053832.17
Land Rover,8,142488,1984,8.86,1,CNG,Manual,3019178.67
Jaguar,9,77516,1130,23.14,1,Petrol,Manual,2518369.75
Audi,1,37602,2351,17.81,3,Diesel,Automatic,3715807.45
Audi,12,134295,1137,17.59,3,Diesel,Manual,1961590.3
Jaguar,9,92969,2429,16.5,1,CNG,Automatic,3034481.1
Toyota,14,137161,2127,9.18,2,CNG,Automatic,223573.53
Mercedes,6,146559,2326,9.53,1,CNG,Automatic,3197786.28
Toyota,6,5155,2473,18.22,2,CNG,Automatic,1429918.74
BMW,12,128950,2161,13.8,1,CNG,Automatic,2544257.04
BMW,4,72494,2373,23.59,4,CNG,Manual,3123811.11
Land Rover,1,81229,3486,14.91,1,Petrol,Automatic,4467111.97
Maruti,10,109648,1074,10.44,1,Diesel,Automatic,134787.37
Maruti,8,43547,1987,20.15,3,Petrol,Manual,326252.06
Audi,2,33795,3166,12.99,2,Petrol,Automatic,3759624.93
Hyundai,12,26447,3436,16.93,4,CNG,Automatic,817940.53
Toyota,1,92960,3351,19.86,2,Diesel,Manual,1795012.2
Ford,2,68278,3234,23.3,4,Petrol,Manual,1282069.69
Honda,1,60077,2793,21.47,1,CNG,Automatic,1671521.43
Maruti,1,117782,1669,19.5,3,CNG,Manual,611179.33
Honda,9,107932,3680,19.55,3,Diesel,Automatic,1185994.23
Land Rover,13,145600,1814,24.08,2,Petrol,Manual,2536520.92
Honda,14,114869,2711,13.03,3,Petrol,Automatic,311885.98
Ford,1,144251,1402,8.02,2,Petrol,Automatic,832249.48
Jaguar,13,53781,2599,12.62,2,CNG,Automatic,2876910.83
Ford,4,58798,1490,11.7,4,Diesel,Manual,761126.67
Honda,10,103696,1293,19.25,2,Diesel,Automatic,482453.58
Ford,6,55939,1289,18.77,4,Petrol,Manual,430351.28
Mercedes,7,34516,3568,18.09,3,CNG,Automatic,3749176.67
Land Rover,2,146521,3944,8.28,2,Petrol,Automatic,4191991.01
Toyota,6,55290,3356,20.39,2,Diesel,Automatic,1692076.67
Jaguar,7,131688,1189,13.5,1,CNG,Automatic,2740908.29
Maruti,10,91661,1094,19.31,2,Petrol,Automatic,53956.24
BMW,14,77954,2192,17.46,2,Petrol,Manual,2283067.86
Toyota,10,27746,3643,13.83,1,CNG,Manual,1238535.42
BMW,2,72990,3712,10.29,1,Diesel,Manual,3896197.24
Land Rover,2,63810,2517,9.61,3,CNG,Automatic,4041537.89
Jaguar,10,123362,3396,22.14,2,Petrol,Automatic,3162675.33
Audi,7,138669,1448,23.61,3,Petrol,Manual,2305192.85
Maruti,12,7659,2673,19.05,3,Petrol,Automatic,561859.07
Mercedes,1,91516,1367,9.76,1,Petrol,Automatic,3466503.31
Audi,8,79567,3700,14.83,4,Diesel,Automatic,3375362.18
Land Rover,11,20037,3617,20.39,3,Diesel,Manual,3714638.36
Toyota,13,131498,1244,21.26,4,Petrol,Manual,-149919.87
Mercedes,3,17109,1162,10.01,2,Diesel,Manual,3339377.9
Ford,11,27010,2970,8.0,1,Diesel,Manual,858637.36
Honda,6,13787,2011,20.11,2,Diesel,Manual,1099405.79
Mercedes,9,144544,1541,14.06,2,Petrol,Automatic,2693892.97
Land Rover,6,66709,2841,12.33,1,CNG,Automatic,3870259.95
Hyundai,9,39518,1479,8.22,2,CNG,Automatic,443089.16
Honda,7,58909,3267,17.19,1,CNG,Automatic,1318601.36
BMW,9,23351,2442,22.47,4,Petrol,Manual,2912731.06
Maruti,2,20282,2372,24.28,2,Diesel,Manual,1267721.16
BMW,12,10075,2158,17.62,1,Diesel,Automatic,3028485.37
Mercedes,8,33365,2939,16.75,3,Petrol,Manual,3301798.34
BMW,8,16002,862,9.45,2,Petrol,Automatic,2744993.23
Land Rover,2,18947,3359,17.33,4,CNG,Automatic,4413342.41
Ford,12,99840,1962,14.46,1,CNG,Automatic,393139.87
Toyota,14,121219,2028,18.32,2,Petrol,Automatic,330497.3
Maruti,4,83610,3619,14.61,2,CNG,Manual,1080922.97
BMW,14,57142,1055,12.09,2,Diesel,Automatic,2331471.66
BMW,11,61307,934,9.61,4,Petrol,Manual,2058487.49
Mercedes,7,140565,1674,13.35,1,Petrol,Automatic,2929179.89
Toyota,11,55085,1621,9.64,3,Diesel,Automatic,714043.74
Audi,4,39228,2935,11.01,3,Diesel,Automatic,3597880.42
BMW,4,48472,3835,24.78,3,Diesel,Automatic,4028412.44
Land Rover,6,54437,1622,15.55,1,CNG,Manual,3384569.33
Hyundai,10,64711,3874,17.04,3,Petrol,Automatic,981293.9
Maruti,6,142888,1773,22.85,4,CNG,Manual,103142.47
BMW,10,82175,3781,24.92,1,Diesel,Automatic,3487641.74
Land Rover,3,69307,2577,17.91,2,CNG,Automatic,4006194.87
Land Rover,9,51733,920,21.81,4,Diesel,Automatic,3162537.56
Maruti,12,133202,2437,13.56,2,CNG,Manual,-73672.01
Audi,10,100028,3909,13.2,3,CNG,Automatic,3102677.3
Land Rover,14,147312,2164,14.85,4,Diesel,Automatic,2800960.3
Hyundai,11,97493,1807,19.43,1,CNG,Automatic,321910.15
Land Rover,2,130149,1724,19.6,4,Petrol,Automatic,3567104.63
Land Rover,6,13259,1444,13.36,2,CNG,Automatic,3614911.66
Land Rover,12,133775,2832,10.26,1,CNG,Manual,2970070.18
Ford,7,19849,3561,18.75,4,Petrol,Manual,1186671.38
Ford,12,86768,3707,10.18,4,Diesel,Automatic,880809.0
Audi,13,111108,2868,17.83,4,Petrol,Automatic,2449424.86
BMW,9,94709,1041,19.79,4,CNG,Manual,2202784.7
Land Rover,13,59869,3302,19.91,1,Diesel,Automatic,3735345.78
Toyota,3,131888,3810,20.81,2,CNG,Manual,1529290.1
BMW,10,68095,3468,22.84,4,CNG,Automatic,3162374.28
Audi,3,122886,3150,16.5,1,Petrol,Automatic,3484745.74
Jaguar,7,75910,2419,20.41,2,Petrol,Manual,3024628.13
BMW,14,28567,1602,18.53,4,Diesel,Automatic,2524069.89
BMW,4,40292,1763,11.17,2,Diesel,Manual,3193924.05
Honda,13,79813,868,8.44,2,Diesel,Manual,-40657.67
Mercedes,8,102136,1952,12.84,1,CNG,Manual,2851218.25
Honda,13,56631,995,15.53,2,Petrol,Automatic,108691.47
Hyundai,7,14885,2987,18.49,1,Petrol,Manual,1010599.01
Ford,5,71314,3130,22.45,4,Petrol,Manual,1040108.29
Ford,7,70087,3159,11.34,2,Diesel,Automatic,1289998.04
Mercedes,3,100998,1545,10.13,2,Petrol,Automatic,3247124.24
Maruti,12,54812,2488,24.38,3,Petrol,Automatic,402927.27
Maruti,2,63643,1076,9.84,4,Petrol,Automatic,625734.59
Audi,6,49900,860,16.13,4,Diesel,Automatic,2779218.92
Mercedes,2,143923,2713,17.95,3,Petrol,Automatic,3586128.36
BMW,3,21288,2899,17.2,3,Diesel,Manual,3653721.59
Maruti,6,77692,3000,9.46,1,Petrol,Automatic,963496.7
Land Rover,5,143440,2572,8.97,1,Petrol,Manual,3419517.57
Toyota,8,90436,2134,9.79,2,Petrol,Automatic,913084.55
BMW,9,51403,2637,17.95,2,Diesel,Manual,3059950.79
Hyundai,11,96170,3391,17.25,2,Diesel,Manual,719963.08
Land Rover,3,14168,1366,11.97,2,Petrol,Automatic,3797118.1
Land Rover,12,54879,2371,18.84,1,CNG,Automatic,3345937.71
Mercedes,10,64871,1421,21.94,4,Diesel,Manual,2710161.47
Audi,3,37174,2825,8.71,2,Diesel,Automatic,3665065.22
Hyundai,3,142653,2000,16.47,4,Petrol,Automatic,720530.02
Maruti,13,115155,1113,19.72,2,CNG,Manual,-477704.98
Mercedes,13,76853,3654,12.29,3,Petrol,Manual,2931392.75
Maruti,6,69046,3695,13.23,2,Diesel,Manual,1150315.39
Mercedes,1,54678,2944,18.43,2,Diesel,Automatic,4160809.32
Mercedes,7,31649,3728,23.26,2,Petrol,Automatic,3890939.75
Mercedes,12,132795,2036,21.77,1,Petrol,Automatic,2681297.62
Audi,1,93668,3676,17.91,3,CNG,Automatic,3804212.4
Mercedes,14,94906,936,20.41,2,CNG,Manual,2064843.26
Jaguar,5,101019,1829,14.2,2,Diesel,Automatic,3246100.65
Toyota,10,83002,3858,18.9,4,CNG,Manual,974186.88
Maruti,13,33803,2956,15.93,3,CNG,Automatic,463453.92
BMW,8,35795,3394,11.23,2,Diesel,Automatic,3538812.76
Honda,4,13770,3910,19.93,4,Diesel,Manual,1700372.02
Hyundai,5,16093,1461,17.46,4,Diesel,Automatic,949310.74
Ford,4,136265,3272,14.1,1,Diesel,Automatic,1419530.77
Audi,12,105311,3477,23.49,4,Petrol,Manual,2561066.63
BMW,12,22569,3108,8.36,2,Diesel,Automatic,3201018.27
Land Rover,14,16190,886,13.37,1,Diesel,Manual,2766837.92
Jaguar,4,67824,3312,8.97,1,Diesel,Manual,3754110.2
Ford,12,47070,2923,21.03,2,CNG,Manual,596654.42
Honda,8,45197,3318,19.94,3,Diesel,Manual,1175620.96
BMW,2,7261,3261,13.63,4,Petrol,Automatic,3882768.33
Ford,1,142788,3672,19.49,1,Petrol,Automatic,1637998.38
BMW,3,91795,3742,14.73,3,Diesel,Automatic,3879356.74
Jaguar,9,33933,3573,20.86,2,Petrol,Manual,3387579.81
Honda,4,140450,3304,15.72,4,CNG,Automatic,1145738.42
Land Rover,10,45583,2108,15.01,4,Diesel,Automatic,3440059.91
Mercedes,5,117082,2500,23.89,1,Petrol,Automatic,3465988.17
Maruti,2,90371,3500,12.26,4,Petrol,Automatic,1274357.21
Land Rover,4,116032,3519,10.05,4,Diesel,Manual,3876796.08
Mercedes,2,47604,1294,17.94,4,Petrol,Manual,3178161.48
Audi,2,100074,2447,24.48,4,Diesel,Automatic,3445407.41
Toyota,4,78869,2742,14.42,2,Petrol,Manual,1229798.95
Hyundai,6,10410,1868,9.05,3,CNG,Automatic,830366.85
Hyundai,7,88375,2224,13.77,2,Petrol,Automatic,672818.39
Maruti,10,101055,1396,16.6,2,Petrol,Automatic,84158.93
Honda,3,142868,1249,10.75,1,Diesel,Manual,699600.1
Jaguar,3,91716,1284,19.19,4,Petrol,Automatic,3069026.62
Honda,10,59245,1445,24.96,2,Diesel,Manual,519826.72
Jaguar,6,48056,3467,15.68,4,CNG,Manual,3382012.88
Honda,13,63557,3889,14.03,2,Diesel,Automatic,1085704.38
Toyota,12,22543,2429,14.81,2,Diesel,Manual,810831.08
Audi,3,101038,1461,9.96,1,Petrol,Manual,2798052.9
Audi,13,8828,1557,23.02,3,CNG,Automatic,2477488.71
Mercedes,2,121656,1088,15.05,3,Diesel,Manual,3091248.9
Ford,8,22087,1520,14.58,2,Petrol,Manual,539193.16
Audi,5,148677,1437,19.21,1,Petrol,Automatic,2750503.61
Audi,1,36337,3082,15.51,4,Diesel,Automatic,3857561.33
Land Rover,3,141554,3263,19.02,4,Petrol,Manual,3750400.8
Land Rover,10,70333,3785,9.04,2,Diesel,Automatic,3912605.63
Mercedes,8,141535,1298,21.83,3,Diesel,Automatic,2836131.81
Ford,4,75448,3821,23.99,1,Diesel,Manual,1645822.54
Maruti,14,9648,1433,19.03,3,CNG,Manual,-162565.5
Land Rover,7,135576,2473,24.23,4,Diesel,Automatic,3501505.07
Maruti,10,38623,2830,10.57,3,Petrol,Manual,436093.72
BMW,12,40634,3867,16.12,4,CNG,Automatic,3176037.3
Land Rover,14,119598,914,18.23,1,Petrol,Automatic,2509686.59
Toyota,14,54334,3779,17.89,1,CNG,Manual,905161.86
Ford,2,73648,1473,14.82,2,CNG,Manual,842859.08
Mercedes,7,27054,2536,13.75,2,CNG,Automatic,3512066.41
BMW,5,75028,2057,10.16,3,CNG,Automatic,3078977.37
Ford,5,27207,3882,14.66,1,Petrol,Automatic,1726196.87
Toyota,6,86554,3053,10.77,1,Diesel,Automatic,1533280.16
Ford,13,88276,3094,20.48,2,Petrol,Manual,461093.01
Toyota,9,57781,3605,11.55,4,Diesel,Automatic,1451628.0
Toyota,14,66035,3998,9.0,3,Petrol,Manual,807061.61
Maruti,6,13210,946,17.39,3,CNG,Manual,310730.37
Honda,12,49363,2965,18.12,2,CNG,Automatic,868431.08
BMW,13,83279,1211,22.82,1,Diesel,Manual,2299632.56
Ford,14,139393,2487,17.81,2,Diesel,Manual,128812.09
Jaguar,8,86348,3210,13.87,2,Petrol,Automatic,3332520.53
BMW,7,118816,2332,21.65,2,Diesel,Manual,2956635.44
Honda,9,128053,936,17.18,2,Petrol,Manual,29060.08
BMW,4,71262,3805,9.35,4,Diesel,Automatic,3781958.7
Audi,2,139832,818,17.62,4,Diesel,Automatic,2782133.35
Jaguar,7,72411,3042,23.44,1,Diesel,Automatic,3645740.8
Honda,6,28377,3177,14.74,2,CNG,Automatic,1422359.87
Maruti,1,43211,2759,13.04,4,CNG,Automatic,1296518.25
Ford,11,8744,3022,10.44,1,Petrol,Automatic,1005394.1
Hyundai,9,29995,1801,10.57,2,Diesel,Automatic,716476.43
Honda,9,39542,1248,15.36,3,Petrol,Manual,347312.86
Mercedes,12,15651,2748,18.13,4,Diesel,Manual,3036655.84
Ford,2,104239,1745,9.37,1,CNG,Automatic,1073679.81
Honda,3,83931,2177,23.97,3,CNG,Manual,995933.47
Audi,5,107112,2322,20.84,2,Diesel,Manual,3055070.65
Hyundai,5,21715,940,17.97,2,Diesel,Automatic,847816.33
Audi,1,66350,3605,22.08,2,CNG,Manual,3709996.92
Hyundai,8,76425,2720,9.36,4,CNG,Automatic,694625.85
Mercedes,12,91120,3777,16.11,1,Petrol,Manual,3120762.04
Ford,8,119889,892,18.71,3,CNG,Automatic,215988.17
Maruti,4,146130,1038,22.09,1,Diesel,Manual,395041.79
Audi,13,79637,1004,21.32,4,Petrol,Manual,1802952.32
Audi,7,75194,3407,12.71,1,Diesel,Manual,3286923.77
Toyota,11,81917,2256,23.99,4,Petrol,Automatic,655684.09
Hyundai,10,69200,1044,10.11,2,Diesel,Manual,104261.63
Land Rover,3,110848,1631,22.88,3,CNG,Manual,3378445.47
Ford,6,111022,3772,24.51,2,Diesel,Automatic,1506530.29
Hyundai,14,65058,1094,11.01,1,Petrol,Automatic,-81249.54
Toyota,10,67068,3487,20.28,2,Diesel,Manual,1202353.67
BMW,13,104932,1655,8.68,3,Petrol,Manual,2043072.96
Hyundai,10,142103,2864,14.89,2,Diesel,Manual,462249.08
Maruti,12,27785,870,16.78,3,CNG,Manual,-234388.74
Ford,14,99475,2092,17.87,3,CNG,Automatic,146078.53
Toyota,9,7282,2148,23.91,2,Diesel,Manual,1105031.37
BMW,1,72534,1104,19.43,4,Diesel,Manual,3131580.4
Jaguar,5,79964,1830,16.18,1,Diesel,Automatic,3404132.62
Toyota,4,124006,2137,21.76,4,Petrol,Manual,862441.82
Jaguar,8,55583,1616,24.16,4,Diesel,Manual,2861342.65
Ford,11,43392,1926,8.38,2,Diesel,Manual,437503.34
Audi,12,12461,1620,24.7,1,Petrol,Automatic,2665719.11
Toyota,1,105123,992,9.46,1,CNG,Automatic,1084904.51
Mercedes,9,15516,2576,21.84,4,Diesel,Manual,3275651.54
Jaguar,6,126251,1328,12.77,2,Diesel,Manual,2738969.81
Maruti,4,67493,3018,10.25,1,CNG,Automatic,1177275.45
Mercedes,12,41027,1050,15.48,4,CNG,Manual,2271879.58
Honda,9,98547,2588,18.95,1,Petrol,Manual,632044.09
Honda,11,105127,3388,14.48,2,Diesel,Automatic,1000516.48
BMW,5,84003,2826,8.93,2,Diesel,Automatic,3473064.08
Audi,5,44758,3263,18.19,2,Petrol,Automatic,3556851.48
Ford,12,59312,3641,23.34,1,CNG,Manual,801986.22
Toyota,5,73670,2203,14.51,3,Petrol,Manual,971505.09
Land Rover,1,87279,1967,11.68,1,CNG,Manual,3741425.49
Maruti,1,20434,2872,15.52,3,Petrol,Manual,1255607.4
